 Index,Somma_Jackpot,Tax_Perc,Valore_Tax,Valore_Netto,Data,Giorno,Tot_Days,Valore_63_54,Split_4_Conti,Euro_63_54,Disp_Mensile_J,Disp_Anno_E,Disp_Mensile_E,Disp_Mensile_L
1,4200000.00,20,839125.00,3360875.00,2025-05-23,venerdi,1,1225375.03,840218.75,2135499.98,177958.33,67217.50,280072.92,5601.46
2,4800000.00,20,959900.00,3840100.00,2025-05-24,sabato,2,1400100.46,960025.00,2439999.54,203333.30,76802.00,320008.33,6400.17
3,5500000.00,20,1099900.00,4400100.00,2025-05-27,martedi,3,1604276.46,1100025.00,2795823.54,232985.30,88002.00,366675.00,7333.50
4,6300000.00,20,1259885.45,5040114.55,2025-05-29,giovedi,4,1837625.76,1260028.64,3202488.78,266874.07,100802.29,420009.55,8400.19
5,6900000.00,20,1379874.55,5520125.45,2025-05-30,venerdi,5,2012637.74,1380031.36,3507487.71,292290.64,110402.51,460010.45,9200.21
6,7700000.00,20,1539860.00,6160140.00,2025-05-31,sabato,6,2245987.04,1540035.00,3914152.96,326179.41,123202.80,513345.00,10266.90
7,8400000.00,20,1679847.27,6720152.73,2025-06-03,martedi,7,2450167.68,1680038.18,4269985.04,355832.09,134403.05,560012.73,11200.25
8,9100000.00,20,1819834.55,7280165.45,2025-06-05,giovedi,8,2654348.33,1820041.36,4625817.13,385484.76,145603.31,606680.45,12133.61
9,9500000.00,20,1899827.27,7600172.73,2025-06-06,venerdi,9,2771022.98,1900043.18,4829149.75,402429.15,152003.45,633347.73,12666.95
10,10100000.00,20,2019816.36,8080183.64,2025-06-07,sabato,10,2946034.95,2020045.91,5134148.69,427845.72,161603.67,673348.64,13466.97
186,121100000.00,20,24217798.18,96882201.82,2026-02-08,giovedi,186,36402491.31,24220550.45,62728113.61,5227342.80,1937644.04,8073516.82,104546.85
187,122000000.00,20,24397781.82,97602218.18,2026-02-09,venerdi,187,36519165.96,24400554.55,64141521.73,5345126.81,1952044.36,8133518.18,106902.54
188,122800000.00,20,24557767.27,98242232.73,2026-02-10,sabato,188,36752515.27,24560558.18,63439777.78,5286648.15,1964844.65,8186852.73,105732.96
189,123400000.00,20,24677756.36,98722243.64,2026-02-11,martedi,189,32610565.13,24680560.91,63643110.40,5303592.53,1974444.87,8226853.64,106071.85
